Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
MEGNet,megnet_hm,matbench_mp_e_form,0,32,18.764760302329876,3.1893626010636202,22.27594637630389,15.425845834908838,13.900204680054271,0.40629009058041443,0.23744636018553225,0.0362151861190795
MEGNet,megnet_hm,matbench_mp_e_form,1,32,19.652833793684238,3.2681538411452413,22.008810583575432,15.107210079643455,13.690903244260692,0.29862965609759157,0.3249767731590255,0.0379595309495925
MEGNet,megnet_hm,matbench_mp_e_form,2,32,18.908206726898108,3.3287363821147875,21.757906106485695,15.262320616138865,14.357450803171853,0.3784606103526511,0.28412509131839925,0.0331404879689216
MEGNet,megnet_hm,matbench_mp_e_form,3,32,19.413946177280714,3.3256890696328427,21.855229440314286,15.60486774400151,13.425266026900587,0.39397334363531,0.2958597015681453,0.0330711975693702
MEGNet,megnet_hm,matbench_mp_e_form,4,32,19.806959424210724,3.3051372653823328,21.540980593075965,15.117986762671606,14.011246880336603,0.3557062767083546,0.2835560044317747,0.038706712424755
MEGNet,megnet_hm,matbench_jdft2d,0,64,24.29569116136353,4.105803604099217,28.318876306036483,24.25236129378244,11.846288260668342,0.3082155731894925,0.12362308963547199,35.8297119140625
MEGNet,megnet_hm,matbench_jdft2d,1,64,24.04444146280069,4.130589445901236,24.20830120826454,17.406797590370857,14.876555619801955,0.2836310711784243,0.047097752642846324,55.75334167480469
MEGNet,megnet_hm,matbench_jdft2d,2,64,23.928808481156135,4.125847726347464,23.069305744785677,17.358614433954394,15.552477449703662,0.14865820543411953,-0.006800651498437712,71.87427520751953
MEGNet,megnet_hm,matbench_jdft2d,3,64,23.137701225973775,4.122514355183037,29.067807836876778,25.32367755548468,11.587599735364604,0.16536511411676874,0.06353022011988739,37.88687133789063
MEGNet,megnet_hm,matbench_jdft2d,4,64,23.550734609231878,4.129145337341641,28.89243861108057,24.43427900421873,13.156016267604787,0.212498822516182,0.0059343637181252075,52.14669036865234
MEGNet,megnet_hm,matbench_phonons,0,64,23.956021288139013,4.1332416986773115,17.863857350763567,12.448223463725618,11.519645156284016,0.011474605214273298,0.1033333147564888,36.25010681152344
MEGNet,megnet_hm,matbench_phonons,1,64,24.50107788679542,4.138815836618022,17.560078079712497,12.583358054031272,11.323868705290588,0.10692022909217479,0.013281226744133286,32.47251892089844
MEGNet,megnet_hm,matbench_phonons,2,64,23.9117415298927,4.135951008492963,17.916248139275957,12.95960791590919,11.671607893210133,0.07494643361557593,0.16258780901598818,34.972835540771484
MEGNet,megnet_hm,matbench_phonons,3,64,24.235696799412576,4.136011112805306,17.815225948774582,12.8152661045198,11.872797972031357,0.047953527397103256,0.07783802950092825,33.33399200439453
MEGNet,megnet_hm,matbench_phonons,4,64,24.834428922875702,4.135439397517828,19.970802347661312,15.396077355273633,12.828135510449705,0.10124965751675266,0.1249737171449885,35.0939826965332
MEGNet,megnet_hm,matbench_dielectric,0,64,21.962649391413454,4.086496114289327,28.415263489580255,22.926494864381333,10.557485757356229,0.37334619173906963,0.23521692276424666,0.2130202800035476
MEGNet,megnet_hm,matbench_dielectric,1,64,21.699281907853905,4.084157388152413,28.812910002788662,23.37851766255377,10.047125492897793,0.3526927751190063,0.22428197464811397,0.3022615611553192
MEGNet,megnet_hm,matbench_dielectric,2,64,20.744841455335248,4.0978750762390685,33.15018502228229,28.57101634406176,9.745723183401072,0.38751195438716884,0.3149803809188884,0.4501666128635406
MEGNet,megnet_hm,matbench_dielectric,3,64,21.774448394340563,4.085904735389065,28.094752673950037,22.470528352781063,10.850510450212525,0.35611415130028956,0.2676071952916663,0.3334436416625976
MEGNet,megnet_hm,matbench_dielectric,4,64,22.126037766796422,4.10980915206035,27.43199942828484,22.131135233686983,11.074709144337048,0.4548328463399664,0.2779077066297899,0.3654540181159973
MEGNet,megnet_hm,matbench_log_gvrh,0,64,25.447787517748335,4.050916699017483,22.540114916388827,16.928952270997627,13.16806970583206,0.3285553575265759,0.24933190694347238,0.0911823511123657
MEGNet,megnet_hm,matbench_log_gvrh,1,64,25.259724846921213,4.0683486789179195,22.66677281012176,17.038743978211823,13.487002342776156,0.43063312966225586,0.3542468238087327,0.0962844565510749
MEGNet,megnet_hm,matbench_log_gvrh,2,64,24.286743298944078,4.03950093760259,23.58969146389073,17.50361239735946,12.943710961373679,0.35941492981983025,0.33376881795090974,0.0913755893707275
MEGNet,megnet_hm,matbench_log_gvrh,3,64,25.165598896009392,4.0599861367457475,22.6053406076628,16.91427287664353,13.21613903933623,0.3513571709034718,0.3955030268377665,0.0986748337745666
MEGNet,megnet_hm,matbench_log_gvrh,4,64,25.28834779092628,4.086980670030208,22.149129425420337,16.89969009268036,13.331311530197448,0.36218465344678935,0.34259218364236055,0.0972475185990333
MEGNet,megnet_hm,matbench_log_kvrh,0,64,26.573738741985576,4.0776423526363565,22.708535764512252,17.625088969821114,13.065958306142772,0.39538145228272265,0.2850367816948558,0.065236784517765
MEGNet,megnet_hm,matbench_log_kvrh,1,64,26.799347656377673,4.087944264259592,22.161083949250934,17.160800109310166,13.71643020394914,0.41305368812312976,0.2545078969573023,0.0698580890893936
MEGNet,megnet_hm,matbench_log_kvrh,2,64,25.907268855715774,4.070204468266639,23.340521986373435,17.922403352087144,13.365365787056488,0.4456628367936572,0.2372495590548127,0.0669507086277008
MEGNet,megnet_hm,matbench_log_kvrh,3,64,25.943002433483265,4.068047667585681,22.386698318947136,16.24259362430618,13.422840220163055,0.3346606805907997,0.32405972623693524,0.0705750361084938
