Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
CGCNN,cgcnn_emb,matbench_log_kvrh,0,32,30.466572488500557,3.451719565550213,0.01063934264524115,41.8634269269142,40.71812717090328,36.41695477061388,-0.00778091488713034,0.03361406260753271,0.9343004541619846,0.0815345719456672
CGCNN,cgcnn_emb,matbench_log_kvrh,1,32,30.37412016333409,3.4537333517183586,0.010680986335406435,41.877067384624155,40.68449767856939,34.58263997739487,0.00107818164665292,0.009933845421926126,1.012262930732192,0.0838582813739776
CGCNN,cgcnn_emb,matbench_log_kvrh,2,32,30.164123268752697,3.449737875688031,0.010854307092404215,41.86784888304967,40.48931493735218,35.22198378563489,0.016723234372358547,0.009394768840188033,0.9051731668768557,0.0820081457495689
CGCNN,cgcnn_emb,matbench_log_kvrh,3,32,30.13902445809671,3.455217852816937,0.010556393567547801,41.94235747315491,40.51661706631865,34.49805636300111,0.01807284100872888,0.014058951928484857,0.9713921719777208,0.0887938886880874
CGCNN,cgcnn_emb,matbench_log_kvrh,4,32,30.345029726423714,3.4569004020291034,0.010489459418934949,42.03245724981638,40.69133908693078,31.50251592355873,0.02486979692357382,0.01565471840212711,0.8534267247546019,0.0874972566962242
CGCNN,cgcnn_emb,matbench_perovskites,0,32,29.318671747730885,3.4462632974611687,0.011079989807773872,27.807682020368865,26.96106050537351,21.958267864545093,0.0565690971243736,-0.00046747511115815404,1.208807726162664,0.063635379076004
CGCNN,cgcnn_emb,matbench_perovskites,1,32,29.087197188178028,3.443572618001934,0.010545517623563757,27.902321165326413,27.15833657225715,20.498718001492577,-0.0005993819487774082,0.012354857778003884,1.1487841945664445,0.0622174404561519
CGCNN,cgcnn_emb,matbench_perovskites,2,32,29.366391855649237,3.44515706196801,0.01056104851281059,27.733794782078935,26.955092997261698,23.736800509198556,-0.016017931336103214,0.01830947614341209,0.9534914744769916,0.0603139661252498
CGCNN,cgcnn_emb,matbench_perovskites,3,32,29.22430677753451,3.45104309267711,0.010839549630726366,27.7578777972377,27.04969517856217,21.713628589109113,-0.015313502978900162,0.00815124183834946,1.119569179892635,0.0604740343987941
CGCNN,cgcnn_emb,matbench_perovskites,4,32,29.570331686049038,3.45735887019977,0.011326880462358689,27.814580158108026,26.984216312970215,22.759861297584905,-0.044406111622393864,0.027897413023982687,1.0503808992988517,0.0585333481431007
CGCNN,cgcnn_emb,matbench_mp_gap,0,32,30.341341699730698,3.4541605983658705,0.012494181666582952,41.913483977656796,40.729026095393436,34.68270809890944,0.01885852827468711,0.0166137243226194,1.120629740270389,0.2840562760829925
CGCNN,cgcnn_emb,matbench_mp_gap,1,32,30.524923382919827,3.458927682449219,0.012240046880486277,42.08611092761584,40.90956890116074,30.577110861567853,-0.02287795432103515,0.019786461004747746,0.932911175285603,0.285664290189743
CGCNN,cgcnn_emb,matbench_mp_gap,2,32,30.483496935995728,3.456721299874477,0.012337114669595386,41.957838730960795,40.730567901130506,35.25695922924368,0.02793618091068516,0.013365768662565038,0.9055223253838051,0.2744719982147217
CGCNN,cgcnn_emb,matbench_mp_gap,3,32,30.39063965790882,3.4526904746307068,0.012016687520620815,42.027931066251426,40.73871843387436,31.03959160987797,-0.000437625817422509,0.01926654159538,1.0312147101450508,0.2705320417881012
CGCNN,cgcnn_emb,matbench_mp_gap,4,32,30.521912060908157,3.4543273107030807,0.01137493868359236,41.95543338360834,40.83451361789679,33.71184765293033,-0.008016353360856146,0.0027703067496739355,0.898148232393278,0.2996885180473327
